id,name,date,value,fill,colour
Liverpool,James Milner,2021/05/11,"2,719,200",#fbd14b,#3d3c3b
Everton,Lucas Digne,2021/05/17,"2,710,015",#fbd14b,#3d3c3b
Manchester United,Matteo Darmian,2021/05/17,"2,617,525",#fbd14b,#3d3c3b
Arsenal,Calum Chambers,2021/05/12,"2,591,895",#fbd14b,#3d3c3b
Manchester City,Bernardo Silva,2021/05/17,"2,454,704",#fbd14b,#3d3c3b
Liverpool,Divock Origi,2021/05/17,"2,350,356",#fbd14b,#3d3c3b
Chelsea,Christian Pulisic,2021/05/10,"2,318,190",#fbd14b,#3d3c3b
Everton,Richarlison,2021/05/04,"2,258,564",#fbd14b,#3d3c3b
Everton,Alex Iwobi,2021/05/15,"2,252,635",#fbd14b,#3d3c3b
Tottenham,Erik Lamela,2021/05/17,"2,250,137",#fbd14b,#3d3c3b
Liverpool,Adam Lallana,2021/05/14,"2,227,403",#fbd14b,#3d3c3b
Liverpool,Andrew Robertson,2021/05/17,"2,223,700",#fbd14b,#3d3c3b
Tottenham,Christian Eriksen,2021/05/07,"2,195,000",#fbd14b,#3d3c3b
Crystal Palace,Wilfried Zaha,2021/05/17,"2,142,635",#fbd14b,#3d3c3b
Chelsea,Marcos Alonso,2021/05/17,"2,128,911",#fbd14b,#3d3c3b
Manchester City,Ederson,2021/05/17,"2,097,894",#fbd14b,#3d3c3b
West Ham,Carlos Sánchez,2021/05/17,"2,091,000",#fbd14b,#3d3c3b
Crystal Palace,Christian Benteke,2021/05/12,"1,993,101",#fbd14b,#3d3c3b
Tottenham,Jan Vertonghen,2021/05/17,"1,942,630",#fbd14b,#3d3c3b
Arsenal,Dani Ceballos,2021/05/17,"1,900,900",#fbd14b,#3d3c3b
Arsenal,Granit Xhaka,2021/05/13,"1,900,000",#fbd14b,#3d3c3b
Chelsea,Ruben Loftus-Cheek,2021/05/17,"1,855,075",#fbd14b,#3d3c3b
Chelsea,Kurt Zouma,2021/05/11,"1,843,714",#fbd14b,#3d3c3b
Manchester United,Victor Lindelöf,2021/05/17,"1,820,000",#fbd14b,#3d3c3b
Everton,Moise Kean,2021/05/16,"1,800,000",#fbd14b,#3d3c3b
Arsenal,Sead Kolasinac,2021/05/14,"1,776,837",#fbd14b,#3d3c3b
Burnley,Joe Hart,2021/05/11,"1,764,765",#fbd14b,#3d3c3b
Chelsea,Antonio Rüdiger,2021/05/07,"1,752,407",#fbd14b,#3d3c3b
Everton,Cenk Tosun,2021/05/17,"1,702,948",#fbd14b,#3d3c3b
Manchester United,Timothy Fosu-Mensah,2021/05/16,"1,696,461",#fbd14b,#3d3c3b
Liverpool,Fabinho,2021/05/13,"1,695,041",#fbd14b,#3d3c3b
Leicester,Jamie Vardy,2021/05/14,"1,692,800",#fbd14b,#3d3c3b
Liverpool,Joe Gomez,2021/05/16,"1,669,554",#fbd14b,#3d3c3b
Chelsea,Marco van Ginkel,2021/05/11,"1,634,515",#fbd14b,#3d3c3b
Manchester City,João Cancelo,2021/05/12,"1,633,754",#fbd14b,#3d3c3b
West Ham,Manuel Lanzini,2021/05/07,"1,632,419",#fbd14b,#3d3c3b
Everton,Yannick Bolasie,2021/05/17,"1,613,366",#fbd14b,#3d3c3b
Watford,Danny Welbeck,2021/05/17,"1,604,917",#fbd14b,#3d3c3b
Chelsea,Lucas Piazon,2021/05/05,"1,494,053",#fbd14b,#3d3c3b
Manchester United,Nemanja Matic,2021/05/09,"1,450,200",#fbd14b,#3d3c3b
Arsenal,Nacho Monreal,2021/05/16,"1,424,055",#fbd14b,#3d3c3b
Tottenham,Moussa Sissoko,2021/05/16,"1,420,425",#fbd14b,#3d3c3b
Manchester United,Diogo Dalot,2021/05/17,"1,388,943",#fbd14b,#3d3c3b
Tottenham,Serge Aurier,2021/04/12,"1,383,922",#fbd14b,#3d3c3b
Chelsea,Tiemoué Bakayoko,2021/05/17,"1,377,909",#fbd14b,#3d3c3b
Wolves,João Moutinho,2021/05/12,"1,367,514",#fbd14b,#3d3c3b
Arsenal,Lucas Torreira,2021/05/17,"1,353,800",#fbd14b,#3d3c3b
Newcastle United,Christian Atsu,2021/05/12,"1,334,660",#fbd14b,#3d3c3b
Manchester United,Fred,2021/05/14,"1,328,264",#fbd14b,#3d3c3b
Arsenal,Bernd Leno,2021/05/15,"1,319,704",#fbd14b,#3d3c3b
AFC Bournemouth,Nathan Aké,2021/05/10,"1,318,081",#fbd14b,#3d3c3b
Burnley,Aaron Lennon,2021/05/07,"1,315,669",#fbd14b,#3d3c3b
Wolves,Rui Patrício,2021/05/06,"1,312,131",#fbd14b,#3d3c3b
Manchester United,Harry Maguire,2021/05/17,"1,308,771",#fbd14b,#3d3c3b
Liverpool,Nathaniel Clyne,2021/04/13,"1,295,295",#fbd14b,#3d3c3b
Liverpool,Naby Keita,2021/05/17,"1,293,849",#fbd14b,#3d3c3b
Chelsea,Ross Barkley,2021/05/15,"1,292,800",#fbd14b,#3d3c3b
Brighton,Alireza Jahanbakhsh,2021/05/17,"1,288,978",#fbd14b,#3d3c3b
Tottenham,Eric Dier,2021/05/17,"1,225,652",#fbd14b,#3d3c3b
Chelsea,Kepa,2021/05/02,"1,216,019",#fbd14b,#3d3c3b
Leicester,Kasper Schmeichel,2021/05/16,"1,205,050",#fbd14b,#3d3c3b
Tottenham,Giovani Lo Celso,2021/05/17,"1,154,000",#fbd14b,#3d3c3b
